,zip,year,count,process_time
220,10026,2014,3476,5.355552359033371
221,10026,2015,4068,5.652507374631275
222,10026,2016,3789,5.480021113750333
223,10026,2017,4252,5.07149576669802
224,10026,2018,5354,6.156948076204702
225,10027,2010,712,4.291853932584266
226,10027,2011,2246,5.126135351736418
227,10027,2012,2742,5.32596644784829
228,10027,2013,3309,5.452402538531275
229,10027,2014,4974,5.0052472858866075
230,10027,2015,5666,5.332333215672442
231,10027,2016,6141,5.395359062042024
232,10027,2017,5582,5.256395557147989
233,10027,2018,4867,6.2113622354633415
234,10028,2010,312,4.3798076923076925
235,10028,2011,1143,5.393175853018369
236,10028,2012,825,5.923151515151518
237,10028,2013,1059,5.144759206798863
238,10028,2014,1341,5.785160328113346
239,10028,2015,1871,5.880812399786208
240,10028,2016,2005,7.065735660847893
241,10028,2017,1950,6.318410256410248
242,10028,2018,1640,6.845609756097565
243,10029,2010,724,4.533425414364634
244,10029,2011,2431,5.753187988482111
245,10029,2012,2700,6.010814814814809
246,10029,2013,3320,5.930572289156607
247,10029,2014,5270,4.807077798861464
248,10029,2015,6084,5.635749506903354
249,10029,2016,5675,5.508281938325978
250,10029,2017,6548,5.140332926084297
251,10029,2018,5919,5.7728839330967965
252,10030,2010,345,3.912753623188406
253,10030,2011,1457,4.526286890871652
254,10030,2012,1340,5.571119402985077
255,10030,2013,2395,5.664843423799583
256,10030,2014,2743,4.827962085308059
257,10030,2015,3194,6.036192861615529
258,10030,2016,3617,5.96436273154546
259,10030,2017,3439,5.701948240767688
260,10030,2018,3277,6.123039365273122
261,10031,2010,829,3.5636911942098872
262,10031,2011,3072,4.773697916666661
263,10031,2012,3468,4.944232987312555
264,10031,2013,4670,5.071349036402567
265,10031,2014,6401,5.64560224964848
266,10031,2015,7362,4.962007606628615
267,10031,2016,8452,5.820184571698978
268,10031,2017,9294,4.987830858618469
269,10031,2018,8934,4.633792254309391
270,10032,2010,817,3.2784577723378208
271,10032,2011,2827,4.163494870887868
272,10032,2012,3204,4.976029962546819
273,10032,2013,4686,4.859752454118666
274,10032,2014,6640,4.6066716867469655
275,10032,2015,7028,5.0770631758679645
276,10032,2016,6510,5.814608294930875
277,10032,2017,7479,5.954432410750084
278,10032,2018,6227,5.277758149991953
279,10033,2010,537,6.638733705772819
280,10033,2011,1953,6.462724014336909
281,10033,2012,2284,6.667381786339757
282,10033,2013,3331,7.2025517862503845
283,10033,2014,4434,6.141362201172751
284,10033,2015,5222,7.277709689774038
285,10033,2016,6177,7.968188440990744
286,10033,2017,7375,8.446277966101674
287,10033,2018,7449,7.1860652436568415
288,10034,2010,567,8.115343915343916
289,10034,2011,2139,7.471575502571302
290,10034,2012,2445,7.419713701431486
291,10034,2013,3411,8.217502198768681
292,10034,2014,5077,7.025467795942483
293,10034,2015,6621,8.98260081558673
294,10034,2016,7341,9.729777959406029
295,10034,2017,7709,10.533597094305394
296,10034,2018,7616,9.382733718487351
297,10035,2010,367,6.660217983651232
298,10035,2011,1489,9.282740094022834
299,10035,2012,1433,8.848220516399156
300,10035,2013,1738,7.417433831990797
301,10035,2014,2226,5.787735849056606
302,10035,2015,2729,6.240930743862209
303,10035,2016,3411,5.989709762532961
304,10035,2017,3319,5.212112081952404
305,10035,2018,3164,6.000505689001276
306,10036,2010,341,3.9416422287390027
307,10036,2011,1240,4.32862903225806
308,10036,2012,1529,4.307979071288417
309,10036,2013,1696,4.366627358490561
310,10036,2014,2622,4.32166285278414
311,10036,2015,3576,4.744994407158834
312,10036,2016,4059,4.376176398127621
313,10036,2017,3348,4.201702508960575
314,10036,2018,2318,4.9530629853321795
315,10037,2010,257,4.53657587548638
316,10037,2011,642,6.553115264797507
317,10037,2012,719,6.372044506258689
318,10037,2013,1001,6.086213786213772
319,10037,2014,1025,5.115219512195124
320,10037,2015,1101,5.9673932788374175
321,10037,2016,1285,6.202334630350203
322,10037,2017,1602,5.488826466916357
323,10037,2018,1515,6.134653465346541
324,10038,2010,136,4.813235294117646
325,10038,2011,472,5.006779661016951
