zip,year,value
10129,2014,4.175
10151,2017,1.033333333
10151,2018,2.433333333
10152,2017,17.15
10153,2013,3
10153,2014,7.5
10153,2015,6.4
10153,2016,2.7
10153,2018,1.85
10154,2016,7.75
10154,2017,0.75
10154,2018,7.033333333
10155,2017,1.1
10155,2018,1.5
10158,2017,13.7
10158,2018,5.6875
10162,2011,2.1
10162,2012,5.7
10162,2013,13.5
10162,2014,5.541666667
10162,2015,3.945454545
10162,2016,6.266666667
10162,2017,3.066666667
10162,2018,8.266666667
10165,2017,3.46
10165,2018,7.5
10167,2016,12.86666667
10167,2017,16.2
10167,2018,11.3
10168,2017,0.6
10168,2018,1.875
10169,2016,14.4
10169,2017,1.5
10169,2018,3.3
10170,2016,0.3
10170,2017,1.1
10170,2018,16.2
10171,2018,0.8
10172,2016,3.95
10172,2018,5.56
10173,2017,0.4
10174,2016,1.733333333
10174,2017,13.5
10175,2017,5.3
10176,2017,14.3
10176,2018,1.4
10177,2016,4.4
10177,2017,14.4
10177,2018,3.266666667
10178,2016,1.2
10178,2017,2
10178,2018,2.4
10271,2016,12.8
10271,2017,4.3
10271,2018,1.275
10278,2016,4.45
10278,2017,4.027777778
10278,2018,6.4
10279,2017,1.5
10279,2018,4.2
10280,2010,2.488888889
10280,2011,5.894827586
10280,2012,5.280357143
10280,2013,4.614705882
10280,2014,7.359459459
10280,2015,5.193277311
10280,2016,6.016129032
10280,2017,4.633980583
10280,2018,6.198850575
10281,2010,0.7
10281,2011,2.8
10281,2012,4.257142857
10281,2013,4.55625
10281,2014,7.615
10281,2015,6.173684211
10281,2016,4.4275
10281,2017,2.928571429
10281,2018,4.192
10282,2010,6.585714286
10282,2011,4.392105263
10282,2012,4.717241379
10282,2013,2.493333333
10282,2014,4.882857143
10282,2015,5.582352941
10282,2016,7.0390625
10282,2017,6.052702703
10282,2018,5.030236486
10301,2010,4.88277027
10301,2011,6.751155116
10301,2012,6.106266667
10301,2013,5.349604601
10301,2014,5.915269151
10301,2015,7.771869919
10301,2016,8.70161406
10301,2017,6.516836232
10301,2018,7.231751825
10302,2010,5.333980583
10302,2011,6.79801085
10302,2012,6.125731895
10302,2013,5.469432314
10302,2014,7.630020492
10302,2015,7.700535714
10302,2016,8.017889908
10302,2017,8.178737113
10302,2018,9.654716981
10303,2010,5.59127907
10303,2011,6.98272328
10303,2012,6.323224044
10303,2013,5.288988476
10303,2014,7.477803558
10303,2015,7.919040248
10303,2016,8.083418043
10303,2017,8.870262717
10303,2018,10.41338129
