zip,hour,value
10027,12,47
10027,13,65
10027,14,75
10027,15,66
10027,16,64
10027,17,80
10027,18,89
10027,19,125
10027,20,177
10027,21,262
10027,22,377
10027,23,392
10028,0,55
10028,1,21
10028,2,14
10028,3,5
10028,4,4
10028,5,13
10028,6,12
10028,7,23
10028,8,24
10028,9,30
10028,10,36
10028,11,29
10028,12,32
10028,13,24
10028,14,22
10028,15,34
10028,16,39
10028,17,49
10028,18,42
10028,19,28
10028,20,51
10028,21,44
10028,22,99
10028,23,90
10029,0,323
10029,1,177
10029,2,125
10029,3,97
10029,4,38
10029,5,27
10029,6,45
10029,7,68
10029,8,75
10029,9,84
10029,10,86
10029,11,87
10029,12,91
10029,13,142
10029,14,112
10029,15,125
10029,16,122
10029,17,114
10029,18,161
10029,19,185
10029,20,235
10029,21,261
10029,22,321
10029,23,389
10030,0,221
10030,1,149
10030,2,80
10030,3,62
10030,4,22
10030,5,29
10030,6,27
10030,7,39
10030,8,41
10030,9,44
10030,10,44
10030,11,46
10030,12,39
10030,13,35
10030,14,44
10030,15,39
10030,16,62
10030,17,58
10030,18,65
10030,19,77
10030,20,93
10030,21,172
10030,22,216
10030,23,218
10031,0,601
10031,1,391
10031,2,207
10031,3,138
10031,4,93
10031,5,42
10031,6,44
10031,7,53
10031,8,75
10031,9,88
10031,10,76
10031,11,71
10031,12,70
10031,13,88
10031,14,106
10031,15,140
10031,16,135
10031,17,186
10031,18,235
10031,19,278
10031,20,417
10031,21,568
10031,22,732
10031,23,671
10032,0,433
10032,1,296
10032,2,167
10032,3,78
10032,4,70
10032,5,42
10032,6,32
10032,7,57
10032,8,69
10032,9,48
10032,10,58
10032,11,42
10032,12,85
10032,13,65
10032,14,56
10032,15,59
10032,16,80
10032,17,108
10032,18,122
10032,19,191
10032,20,277
10032,21,349
10032,22,450
10032,23,561
10033,0,408
10033,1,279
10033,2,175
10033,3,93
10033,4,53
10033,5,33
10033,6,45
10033,7,49
10033,8,55
10033,9,63
10033,10,70
10033,11,82
10033,12,87
10033,13,83
10033,14,82
10033,15,193
10033,16,102
10033,17,155
10033,18,175
10033,19,260
10033,20,315
10033,21,477
10033,22,585
10033,23,584
10034,0,538
10034,1,352
10034,2,196
10034,3,124
10034,4,115
10034,5,44
10034,6,56
10034,7,36
10034,8,34
10034,9,38
10034,10,43
10034,11,74
10034,12,68
10034,13,81
10034,14,85
10034,15,102
10034,16,147
10034,17,149
10034,18,200
10034,19,253
10034,20,380
10034,21,441
10034,22,569
10034,23,649
10035,0,180
10035,1,142
10035,2,69
10035,3,47
10035,4,35
10035,5,19
10035,6,30
10035,7,69
10035,8,59
10035,9,43
10035,10,40
10035,11,58
10035,12,60
10035,13,54
10035,14,45
10035,15,51
10035,16,58
10035,17,73
10035,18,77
10035,19,94
10035,20,125
10035,21,166
10035,22,189
10035,23,203
10036,0,88
10036,1,58
10036,2,33
10036,3,27
10036,4,18
10036,5,13
10036,6,27
10036,7,26
10036,8,35
10036,9,44
10036,10,45
10036,11,37
10036,12,59
10036,13,49
10036,14,35
10036,15,62
10036,16,68
10036,17,75
10036,18,84
10036,19,68
10036,20,81
10036,21,95
10036,22,89
10036,23,91
10037,0,85
10037,1,43
10037,2,33
10037,3,9
10037,4,11
10037,5,6
10037,6,6
10037,7,18
10037,8,9
10037,9,22
10037,10,24
10037,11,26
10037,12,16
10037,13,15
10037,14,25
10037,15,13
10037,16,27
10037,17,32
10037,18,42
10037,19,58
10037,20,60
10037,21,62
10037,22,88
10037,23,107
10038,0,35
10038,1,36
10038,2,17
10038,3,8
10038,4,7
10038,5,4
10038,6,9
10038,7,29
10038,8,18
10038,9,29
10038,10,31
10038,11,33
10038,12,18
10038,13,26
10038,14,28
10038,15,16
10038,16,13
10038,17,16
10038,18,26
10038,19,44
10038,20,80
10038,21,76
10038,22,47
10038,23,51
10039,0,158
10039,1,100
10039,2,64
10039,3,19
10039,4,21
10039,5,16
10039,6,13
10039,7,29
10039,8,27
10039,9,36
10039,10,37
10039,11,34
10039,12,19
10039,13,40
10039,14,36
10039,15,51
10039,16,43
10039,17,57
10039,18,63
10039,19,77
10039,20,137
10039,21,174
10039,22,227
10039,23,269
10040,0,558
10040,1,435
10040,2,278
10040,3,118
10040,4,161
10040,5,48
10040,6,29
10040,7,62
10040,8,58
10040,9,71
10040,10,60
10040,11,93
10040,12,140
10040,13,129
10040,14,191
10040,15,157
10040,16,170
10040,17,226
10040,18,276
10040,19,351
10040,20,424
10040,21,466
10040,22,660
10040,23,822
10041,5,1
10041,15,2
10041,21,1
10044,0,5
10044,3,1
10044,7,1
10044,9,2
10044,11,2
10044,14,2
10044,16,1
10044,18,1
10044,20,1
10044,21,2
10044,22,7
10044,23,5
10045,18,1
10065,0,24
10065,1,20
10065,2,5
10065,3,2
10065,4,5
10065,5,2
10065,6,7
10065,7,16
10065,8,26
10065,9,36
10065,10,14
10065,11,21
10065,12,20
10065,13,18
10065,14,22
10065,15,22
10065,16,16
10065,17,20
10065,18,12
10065,19,13
10065,20,19
10065,21,24
10065,22,60
10065,23,60
10069,0,1
10069,7,1
10069,8,2
10069,9,2
10069,10,3
10069,11,3
10069,12,2
10069,13,4
10069,14,4
10069,15,1
10069,16,1
10069,17,4
10069,18,2
10069,19,4
10069,20,4
10069,21,6
10075,0,33
10075,1,15
10075,2,6
10075,3,6
10075,4,3
10075,5,1
10075,6,3
10075,7,17
10075,8,12
10075,9,21
10075,10,24
10075,11,29
10075,12,23
10075,13,24
10075,14,28
10075,15,87
10075,16,59
10075,17,37
10075,18,22
10075,19,11
10075,20,14
10075,21,29
10075,22,28
10075,23,25
10103,4,1
10103,8,1
10103,13,1
10103,16,2
10103,17,1
10103,18,1
10103,21,1
10105,0,1
10106,20,1
10110,15,1
10110,19,1
10118,0,1
10118,5,1
10119,11,1
10119,17,1
