zip,year,type,count,efficiency
10007,2015,Miscellaneous,9,5.744444444
10007,2015,Noise,461,4.462255965
10007,2015,Street condition related,130,5.039230769
10007,2015,Traffic related,137,4.359124088
10007,2016,Disturbance,3,7.966666667
10007,2016,Miscellaneous,22,6.054545455
10007,2016,Noise,533,5.67054409
10007,2016,Street condition related,162,6.698765432
10007,2016,Traffic related,499,6.53987976
10007,2017,Disturbance,1,19.5
10007,2017,Miscellaneous,15,2.573333333
10007,2017,Noise,483,5.607039337
10007,2017,Street condition related,628,4.547292994
10007,2017,Traffic related,358,6.667318436
10007,2018,Disturbance,1,3.2
10007,2018,Miscellaneous,17,6.458823529
10007,2018,Noise,393,5.004580153
10007,2018,Street condition related,333,5.464564565
10007,2018,Traffic related,290,6.728965517
10009,2010,Disturbance,8,1.575
10009,2010,Miscellaneous,3,3.266666667
10009,2010,Noise,554,4.567870036
10009,2010,Street condition related,16,4.15625
10009,2010,Traffic related,90,6.413333333
10009,2011,Disturbance,26,5.830769231
10009,2011,Miscellaneous,23,5.026086957
10009,2011,Noise,2149,4.350953932
10009,2011,Street condition related,68,4.226470588
10009,2011,Traffic related,281,5.759430605
10009,2012,Disturbance,21,4.152380952
10009,2012,Miscellaneous,26,5.253846154
10009,2012,Noise,2611,4.875181923
10009,2012,Street condition related,91,6.648351648
10009,2012,Traffic related,262,6.857633588
10009,2013,Disturbance,26,4.807692308
10009,2013,Miscellaneous,20,4.87
10009,2013,Noise,3434,4.334245778
10009,2013,Street condition related,92,6.468478261
10009,2013,Traffic related,305,5.799344262
10009,2014,Disturbance,17,4.776470588
10009,2014,Miscellaneous,103,5.914563107
10009,2014,Noise,3851,4.443469229
10009,2014,Street condition related,74,7.32972973
10009,2014,Traffic related,303,7.121122112
10009,2015,Disturbance,17,6.4
10009,2015,Miscellaneous,103,6.53592233
10009,2015,Noise,4193,5.545146673
10009,2015,Street condition related,111,6.817117117
10009,2015,Traffic related,445,6.766966292
10009,2016,Disturbance,32,4.65
10009,2016,Miscellaneous,98,7.652040816
10009,2016,Noise,4999,6.878255651
10009,2016,Street condition related,78,7.214102564
10009,2016,Traffic related,607,7.905107084
10009,2017,Disturbance,28,5.810714286
10009,2017,Miscellaneous,96,6.377083333
10009,2017,Noise,5193,6.263778163
10009,2017,Street condition related,83,7.772289157
10009,2017,Traffic related,552,7.582246377
10009,2018,Disturbance,26,6.361538462
10009,2018,Miscellaneous,81,5.437037037
10009,2018,Noise,4460,5.399192825
10009,2018,Street condition related,139,6.647482014
10009,2018,Traffic related,598,6.296153846
10010,2010,Miscellaneous,5,4.82
10010,2010,Noise,130,4.676153846
10010,2010,Street condition related,7,6.7
10010,2010,Traffic related,45,7.322222222
10010,2011,Disturbance,6,1.283333333
10010,2011,Miscellaneous,17,3.876470588
10010,2011,Noise,598,4.313210702
10010,2011,Street condition related,57,6.578947368
10010,2011,Traffic related,162,4.443209877
10010,2012,Disturbance,3,2.366666667
10010,2012,Miscellaneous,13,4.338461538
10010,2012,Noise,531,5.00960452
10010,2012,Street condition related,34,8.005882353
10010,2012,Traffic related,132,5.952272727
10010,2013,Disturbance,6,3.516666667
10010,2013,Miscellaneous,18,5.088888889
10010,2013,Noise,721,4.974341193
10010,2013,Street condition related,27,7.414814815
10010,2013,Traffic related,178,5.25
10010,2014,Disturbance,4,6.725
10010,2014,Miscellaneous,28,5.414285714
10010,2014,Noise,1053,4.888793922
10010,2014,Street condition related,33,4.548484848
10010,2014,Traffic related,203,5.036453202
10010,2015,Disturbance,5,3.8
10010,2015,Miscellaneous,72,5.069444444
10010,2015,Noise,1180,3.891271186
10010,2015,Street condition related,55,5.343636364
10010,2015,Traffic related,259,6.31003861
10010,2016,Disturbance,9,4.366666667
10010,2016,Miscellaneous,86,5.808139535
10010,2016,Noise,1201,4.524396336
10010,2016,Street condition related,42,7.145238095
10010,2016,Traffic related,280,6.408571429
10010,2017,Disturbance,7,5.4
10010,2017,Miscellaneous,28,5.742857143
10010,2017,Noise,1559,5.817126363
10010,2017,Street condition related,33,6.654545455
10010,2017,Traffic related,298,5.575167785
10010,2018,Disturbance,13,4.876923077
10010,2018,Miscellaneous,45,6.911111111
10010,2018,Noise,1373,6.749599417
10010,2018,Street condition related,38,7.855263158
10010,2018,Traffic related,298,6.144630872
10011,2010,Disturbance,3,9.266666667
10011,2010,Miscellaneous,7,7.957142857
10011,2010,Noise,365,3.827945205
10011,2010,Street condition related,36,6.188888889
10011,2010,Traffic related,84,5.916666667
10011,2011,Disturbance,22,7.204545455
10011,2011,Miscellaneous,38,5.171052632
10011,2011,Noise,1134,4.759082892
10011,2011,Street condition related,74,5.639189189
10011,2011,Traffic related,460,5.23826087
10011,2012,Disturbance,13,4.253846154
10011,2012,Miscellaneous,25,5.776
10011,2012,Noise,1404,4.584116809
10011,2012,Street condition related,83,7.002409639
10011,2012,Traffic related,287,5.599303136
10011,2013,Disturbance,8,10.2125
10011,2013,Miscellaneous,40,7.0675
10011,2013,Noise,1499,4.341627752
10011,2013,Street condition related,62,7.1
10011,2013,Traffic related,358,5.096648045
10011,2014,Disturbance,11,6.463636364
10011,2014,Miscellaneous,77,4.180519481
10011,2014,Noise,1820,4.489175824
10011,2014,Street condition related,128,5.84765625
10011,2014,Traffic related,438,4.738356164
10011,2015,Disturbance,19,2.526315789
10011,2015,Miscellaneous,129,6.493023256
10011,2015,Noise,2354,4.927740017
10011,2015,Street condition related,145,7.956551724
10011,2015,Traffic related,450,5.961777778
10011,2016,Disturbance,16,4.26875
10011,2016,Miscellaneous,101,5.196039604
10011,2016,Noise,1973,5.283071465
10011,2016,Street condition related,105,4.879047619
10011,2016,Traffic related,440,6.014318182
10011,2017,Disturbance,14,5.2
10011,2017,Miscellaneous,106,4.824528302
10011,2017,Noise,1976,5.511791498
10011,2017,Street condition related,103,7.145631068
10011,2017,Traffic related,534,5.692883895
10011,2018,Disturbance,31,9.051612903
10011,2018,Miscellaneous,88,6.055681818
10011,2018,Noise,2163,5.353259362
10011,2018,Street condition related,154,6.505844156
10011,2018,Traffic related,642,5.869781931
10012,2010,0,1,0.4
10012,2010,Disturbance,4,2.5
10012,2010,Miscellaneous,7,6
10012,2010,Noise,374,4.082352941
10012,2010,Street condition related,127,7.220472441
10012,2010,Traffic related,47,6.531914894
10012,2011,Disturbance,18,7.494444444
10012,2011,Miscellaneous,25,4.796
10012,2011,Noise,1273,4.639984289
10012,2011,Street condition related,298,6.735234899
10012,2011,Traffic related,254,4.571653543
10012,2012,Disturbance,7,7.785714286
10012,2012,Miscellaneous,32,5.86875
10012,2012,Noise,1100,4.742454545
10012,2012,Street condition related,276,6.190217391
10012,2012,Traffic related,269,4.255018587
10012,2013,Disturbance,7,7.385714286
10012,2013,Miscellaneous,19,4.531578947
10012,2013,Noise,1689,4.697572528
10012,2013,Street condition related,151,6.18013245
10012,2013,Traffic related,249,4.279919679
10012,2014,Disturbance,5,5.92
10012,2014,Miscellaneous,56,6.114285714
10012,2014,Noise,1713,4.54594279
10012,2014,Street condition related,95,6.213684211
10012,2014,Traffic related,272,5.176102941
10012,2015,Disturbance,12,5.433333333
10012,2015,Miscellaneous,59,4.722033898
10012,2015,Noise,1933,5.777703052
10012,2015,Street condition related,106,5.985849057
10012,2015,Traffic related,251,6.044621514
10012,2016,Disturbance,9,1.766666667
10012,2016,Miscellaneous,74,6.8
10012,2016,Noise,2027,6.122594968
10012,2016,Street condition related,398,3.683668342
10012,2016,Traffic related,422,6.895023697
10012,2017,Disturbance,15,4.673333333
10012,2017,Miscellaneous,55,6.874545455
10012,2017,Noise,2506,5.865602554
10012,2017,Street condition related,52,6.082692308
10012,2017,Traffic related,332,6.09246988
10012,2018,Disturbance,22,4.390909091
10012,2018,Miscellaneous,62,4.091935484
10012,2018,Noise,2132,5.486819887
10012,2018,Street condition related,45,6.173333333
10012,2018,Traffic related,441,5.032653061
10013,2010,0,6,0.766666667
10013,2010,Disturbance,1,1
10013,2010,Miscellaneous,9,7.722222222
10013,2010,Noise,248,3.825403226
10013,2010,Street condition related,38,5.926315789
10013,2010,Traffic related,120,3.8875
10013,2011,Disturbance,10,6.09
10013,2011,Miscellaneous,25,4.452
10013,2011,Noise,937,4.34493063
10013,2011,Street condition related,87,6.357471264
10013,2011,Traffic related,522,4.558429119
10013,2012,Disturbance,4,7.4
10013,2012,Miscellaneous,16,5.59375
10013,2012,Noise,825,4.447151515
10013,2012,Street condition related,86,4.61744186
10013,2012,Traffic related,466,3.55944206
10013,2013,Disturbance,4,2.35
10013,2013,Miscellaneous,26,4.242307692
10013,2013,Noise,1175,3.459574468
10013,2013,Street condition related,64,5.9578125
10013,2013,Traffic related,475,3.772631579
10013,2014,Disturbance,5,6.9
10013,2014,Miscellaneous,38,5.739473684
10013,2014,Noise,1089,4.393755739
10013,2014,Street condition related,78,4.987179487
10013,2014,Traffic related,511,4.066731898
10013,2015,Disturbance,5,3.6
10013,2015,Miscellaneous,62,4.270967742
10013,2015,Noise,1395,4.751899642
10013,2015,Street condition related,100,5.43
10013,2015,Traffic related,546,4.63992674
10013,2016,Disturbance,10,9.07
10013,2016,Miscellaneous,71,6.01971831
10013,2016,Noise,1683,5.046048723
10013,2016,Street condition related,95,6.026315789
10013,2016,Traffic related,893,4.835386338
10013,2017,Disturbance,18,5.122222222
10013,2017,Miscellaneous,59,6.050847458
10013,2017,Noise,2814,3.845451315
10013,2017,Street condition related,82,6.645121951
10013,2017,Traffic related,1094,4.253656307
10013,2018,Disturbance,5,5.28
10013,2018,Miscellaneous,43,5.974418605
10013,2018,Noise,1740,4.845804598
10013,2018,Street condition related,70,5.251428571
10013,2018,Traffic related,947,5.549208025
10014,2010,0,1,14.9
10014,2010,Disturbance,3,4.166666667
10014,2010,Miscellaneous,4,4.675
10014,2010,Noise,320,5.7928125
10014,2010,Street condition related,12,6.85
10014,2010,Traffic related,72,5.247222222
10014,2011,Disturbance,12,6.508333333
10014,2011,Miscellaneous,18,4.055555556
10014,2011,Noise,1504,5.690359043
10014,2011,Street condition related,65,8.881538462
10014,2011,Traffic related,251,6.671713147
10014,2012,Disturbance,15,8.506666667
10014,2012,Miscellaneous,22,6.95
10014,2012,Noise,1328,5.592695783
10014,2012,Street condition related,53,6.305660377
10014,2012,Traffic related,230,6.816956522
10014,2013,Disturbance,6,1.633333333
10014,2013,Miscellaneous,28,6.517857143
10014,2013,Noise,1607,6.200746733
10014,2013,Street condition related,48,8.90625
10014,2013,Traffic related,366,6.985245902
10014,2014,Disturbance,10,3.36
10014,2014,Miscellaneous,71,5.776056338
10014,2014,Noise,1755,5.136581197
10014,2014,Street condition related,66,6.887878788
10014,2014,Traffic related,357,6.548179272
10014,2015,Disturbance,10,11.01
10014,2015,Miscellaneous,71,7.236619718
10014,2015,Noise,1960,6.95744898
10014,2015,Street condition related,55,8.352727273
10014,2015,Traffic related,415,7.825783133
10014,2016,Disturbance,17,7.017647059
10014,2016,Miscellaneous,67,7.713432836
10014,2016,Noise,2073,7.207091172
10014,2016,Street condition related,60,8.11
10014,2016,Traffic related,577,6.966724437
10014,2017,Disturbance,17,8.347058824
10014,2017,Miscellaneous,55,6.425454545
10014,2017,Noise,1836,5.801525054
10014,2017,Street condition related,40,7.1775
10014,2017,Traffic related,646,6.610835913
10014,2018,Disturbance,5,2.48
10014,2018,Miscellaneous,61,6.685245902
10014,2018,Noise,1575,6.05015873
10014,2018,Street condition related,75,7.16
10014,2018,Traffic related,493,6.212170385
10016,2010,0,1,0.8
10016,2010,Disturbance,2,10.35
10016,2010,Miscellaneous,5,4.36
10016,2010,Noise,281,5.292882562
10016,2010,Street condition related,23,10.53913043
10016,2010,Traffic related,80,4.48
10016,2011,Disturbance,9,4.722222222
10016,2011,Miscellaneous,20,6.055
10016,2011,Noise,902,4.904878049
10016,2011,Street condition related,88,7.656818182
10016,2011,Traffic related,300,4.839
10016,2012,Disturbance,12,4.85
10016,2012,Miscellaneous,20,4.705
10016,2012,Noise,1030,4.712330097
10016,2012,Street condition related,203,7.744827586
10016,2012,Traffic related,292,4.785958904
10016,2013,Disturbance,17,4.347058824
10016,2013,Miscellaneous,32,3.571875
10016,2013,Noise,1465,4.390989761
10016,2013,Street condition related,228,4.428070175
10016,2013,Traffic related,394,4.484771574
10016,2014,Disturbance,8,3.0125
10016,2014,Miscellaneous,56,4.439285714
10016,2014,Noise,1503,5.217764471
10016,2014,Street condition related,33,4.781818182
10016,2014,Traffic related,449,5.777060134
10016,2015,Disturbance,11,6.372727273
10016,2015,Miscellaneous,105,6.855238095
10016,2015,Noise,1570,5.061401274
10016,2015,Street condition related,51,7.633333333
10016,2015,Traffic related,524,5.555725191
10016,2016,Disturbance,10,9.29
10016,2016,Miscellaneous,78,5.405128205
10016,2016,Noise,2272,5.415757042
10016,2016,Street condition related,63,7.261904762
10016,2016,Traffic related,635,5.060314961
10016,2017,Disturbance,12,3.658333333
10016,2017,Miscellaneous,83,6.243373494
10016,2017,Noise,2334,4.872365039
10016,2017,Street condition related,87,6.301149425
10016,2017,Traffic related,639,4.852738654
10016,2018,Disturbance,32,5.353125
10016,2018,Miscellaneous,64,6.503125
10016,2018,Noise,1811,6.327995583
10016,2018,Street condition related,56,7.785714286
10016,2018,Traffic related,571,6.522416813
10017,2010,0,1,0.8
10017,2010,Disturbance,4,5.95
10017,2010,Miscellaneous,3,8.066666667
10017,2010,Noise,84,3.182142857
10017,2010,Street condition related,9,9.511111111
10017,2010,Traffic related,44,1.725
10017,2011,Disturbance,2,0.65
10017,2011,Miscellaneous,18,6.622222222
10017,2011,Noise,318,4.905660377
10017,2011,Street condition related,46,8.097826087
10017,2011,Traffic related,177,4.405084746
10017,2012,Disturbance,2,11.1
10017,2012,Miscellaneous,10,7.46
10017,2012,Noise,300,5.452
10017,2012,Street condition related,36,5.927777778
10017,2012,Traffic related,304,4.618092105
10017,2013,Disturbance,3,7.433333333
10017,2013,Miscellaneous,15,5.186666667
10017,2013,Noise,309,4.664724919
10017,2013,Street condition related,50,4.756
10017,2013,Traffic related,382,3.813350785
10017,2014,Disturbance,3,9.633333333
10017,2014,Miscellaneous,56,6.3
10017,2014,Noise,509,4.997053045
10017,2014,Street condition related,20,3.785
10017,2014,Traffic related,547,4.755393053
10017,2015,Disturbance,3,6.833333333
10017,2015,Miscellaneous,65,4.204615385
10017,2015,Noise,1111,3.771827183
10017,2015,Street condition related,38,6.889473684
10017,2015,Traffic related,747,4.507764391
10017,2016,Disturbance,4,1.95
10017,2016,Miscellaneous,59,5.720338983
10017,2016,Noise,460,5.776956522
10017,2016,Street condition related,51,7.539215686
10017,2016,Traffic related,694,4.447262248
10017,2017,Disturbance,4,11.1
10017,2017,Miscellaneous,56,4.078571429
10017,2017,Noise,661,4.405143722
10017,2017,Street condition related,153,3.885620915
10017,2017,Traffic related,705,4.289503546
10017,2018,Disturbance,6,9.8
10017,2018,Miscellaneous,43,5.513953488
10017,2018,Noise,452,6.127654867
10017,2018,Street condition related,48,5.025
10017,2018,Traffic related,415,6.066746988
10018,2010,0,3,0.766666667
10018,2010,Miscellaneous,3,5.166666667
10018,2010,Noise,68,5.216176471
10018,2010,Street condition related,17,9.735294118
10018,2010,Traffic related,36,6.191666667
10018,2011,Disturbance,8,4.575
