zip,year,count,process_time
10040,2013,3537,8.45682782
10040,2014,5823,7.506560192
10040,2015,7034,9.102032983
10040,2016,7866,10.0450928
10040,2017,8452,10.4413275
10040,2018,9350,9.369497326
10041,2015,3,2.966666667
10041,2016,6,7.766666667
10041,2017,13,2.346153846
10041,2018,6,7
10044,2010,4,4.925
10044,2011,2,9.65
10044,2012,6,8.083333333
10044,2013,13,3.9
10044,2014,19,6.447368421
10044,2015,31,7.587096774
10044,2016,39,10.18205128
10044,2017,50,8.318
10044,2018,36,7.3
10045,2016,2,2.1
10045,2018,2,1.2
10048,2011,11,4.290909091
10048,2012,4,3.4
10048,2013,1,0.8
10048,2014,2,0.65
10048,2015,2,0.6
10048,2017,1,0.5
10048,2018,1,12.2
10065,2010,200,3.609
10065,2011,655,4.986412214
10065,2012,541,5.673937153
10065,2013,585,5.374358974
10065,2014,1121,5.313113292
10065,2015,1250,6.16176
10065,2016,1648,6.738713592
10065,2017,1103,6.665548504
10065,2018,921,7.157980456
10069,2010,8,1.05
10069,2011,34,4.011764706
10069,2012,40,4.2525
10069,2013,115,4.057391304
10069,2014,119,3.131092437
10069,2015,58,5.986206897
10069,2016,66,4.513636364
10069,2017,75,4.726666667
10069,2018,74,4.241891892
10075,2010,172,5.518023256
10075,2011,487,4.99301848
10075,2012,401,5.063341646
10075,2013,530,5.411320755
10075,2014,838,5.128400955
10075,2015,848,6.91875
10075,2016,982,6.903462322
10075,2017,1104,6.123822464
10075,2018,944,6.609322034
10103,2013,2,11.4
10103,2014,2,1.85
10103,2015,2,8.2
10103,2016,3,6.6
10103,2017,8,4.375
10103,2018,10,4.63
10104,2012,1,2.9
10105,2017,2,7.9
10105,2018,2,9.95
10106,2017,2,1.8
10106,2018,1,1
10107,2014,1,14
10107,2017,4,3.65
10107,2018,3,0.266666667
10110,2017,2,1.75
10110,2018,3,3.033333333
10111,2014,4,4.55
10111,2015,1,1.6
10111,2016,5,7.92
10111,2017,16,5.48125
10111,2018,2,7.8
10112,2013,2,1.4
10112,2014,1,1.9
10112,2015,3,1
10112,2016,22,4.140909091
10112,2017,95,3.430526316
10115,2016,1,14.1
10115,2017,1,0.4
10115,2018,1,16.1
10118,2016,14,0.75
10118,2017,1,0.8
10118,2018,4,5.15
10119,2013,3,5.7
10119,2014,11,4.3
10119,2015,3,7.033333333
10119,2016,11,2.918181818
10119,2017,9,3.511111111
10119,2018,5,4.56
10120,2016,2,2.5
10120,2017,9,2.888888889
10120,2018,80,3.025
10121,2016,24,1.104166667
10121,2017,11,3.218181818
10121,2018,17,5.358823529
10122,2017,2,0.45
10123,2015,1,1.7
10123,2016,1,0.4
10123,2017,2,9.15
10123,2018,3,1.8
10128,2010,322,5.080434783
10128,2011,1076,5.437267658
10128,2012,1173,6.060869565
10128,2013,1460,6.076575342
10128,2014,1728,6.101215278
10128,2015,1960,6.771020408
10128,2016,1993,7.625589563
10128,2017,2748,5.697671033
10128,2018,1776,6.938626126
10129,2013,2,1.15
10129,2014,4,4.175
10151,2017,3,1.033333333
10151,2018,3,2.433333333
10152,2017,2,17.15
10153,2013,6,3
10153,2014,2,7.5
10153,2015,1,6.4
10153,2016,1,2.7
10153,2018,2,1.85
10154,2016,2,7.75
10154,2017,2,0.75
10154,2018,3,7.033333333
10155,2017,1,1.1
10155,2018,2,1.5
10158,2017,1,13.7
10158,2018,16,5.6875
10162,2011,1,2.1
10162,2012,1,5.7
10162,2013,3,13.5
10162,2014,12,5.541666667
10162,2015,22,3.945454545
10162,2016,6,6.266666667
10162,2017,9,3.066666667
10162,2018,3,8.266666667
10165,2017,5,3.46
10165,2018,3,7.5
10167,2016,3,12.86666667
10167,2017,1,16.2
10167,2018,2,11.3
10168,2017,4,0.6
10168,2018,8,1.875
10169,2016,1,14.4
10169,2017,2,1.5
10169,2018,1,3.3
10170,2016,1,0.3
10170,2017,1,1.1
10170,2018,2,16.2
10171,2018,1,0.8
10172,2016,2,3.95
10172,2018,5,5.56
10173,2017,1,0.4
10174,2016,3,1.733333333
10174,2017,1,13.5
10175,2017,1,5.3
10176,2017,1,14.3
10176,2018,1,1.4
10177,2016,1,4.4
10177,2017,1,14.4
10177,2018,3,3.266666667
10178,2016,1,1.2
10178,2017,1,2
10178,2018,2,2.4
10271,2016,2,12.8
10271,2017,6,4.3
10271,2018,4,1.275
